Atom,At.No, BP (K),MP (K),Density,at. wt.,Most stable oxidation State,covalent radius,At. Radius   (angstroms),s,p,d
H,1,20.28,13.81,0.0899,1.00797,1,0.32,0.79,1,0,0
C,6,5100,3825,2.26,12.011,4,0.77,0.91,0,1,0
N,7,77.344,63.15,1.251,14.0067,3,0.75,0.75,0,1,0
O,8,90.188,54.8,1.429,15.9994,2,0.73,0.65,0,1,0
F,9,85,53.55,1.696,18.9984,1,0.72,0.57,0,1,0
Na,11,1156,371,0.97,22.98977,1,1.54,2.23,1,0,0
Mg,12,1380,922,1.74,24.305,2,1.36,1.72,1,0,0
P,15,553,317.3,1.82,30.97376,5,1.06,1.23,0,1,0
S,16,717.82,392.2,2.07,32.066,6,1.02,1.09,0,1,0
Cl,17,239.18,172.17,3.214,35.4527,1,0.99,0.97,0,1,0
K,19,1033,336.8,0.86,39.0983,1,2.03,2.77,1,0,0
Ca,20,1757,1112,1.55,40.078,2,1.74,2.23,1,0,0
Mn,25,2235,1518,7.44,54.938,4,1.17,1.79,0,0,1
Fe,26,3023,1808,7.874,55.847,3,1.17,1.72,0,0,1
Co,27,3143,1768,8.9,58.9332,2,1.16,1.67,0,0,1
Ni,28,3005,1726,8.9,58.6934,2,1.15,1.62,0,0,1
Cu,29,2840,1356.6,8.96,63.456,2,1.17,1.57,0,0,1
Zn,30,1180,692.73,7.13,65.39,2,1.25,1.53,0,0,1
Se,34,958,494,4.79,78.96,4,1.16,1.22,0,1,0
Br,35,331.85,265.95,3.12,79.904,1,1.14,1.12,0,1,0
Sr,38,1655,1042,2.54,87.62,2,1.91,2.45,1,0,0
Cd,48,1040,594.26,8.65,112.41,2,1.41,1.71,0,0,1
I,53,457.5,386.7,4.93,126.9045,1,1.33,1.32,0,1,0
Cs,55,944,301.54,1.87,132.9054,1,2.35,3.34,1,0,0
Hg,80,629.88,234.31,13.55,200.59,2,1.49,1.76,0,0,1
