atom_type,C.1,C.2,C.3,C.ar,C.cat,H,N.1,N.2,N.3,N.4,N.am,N.ar,N.pl3,O.2,O.3,O.co2,S.2,S.3,S.o,S.o2,Ot
Br,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.ar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.cat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Co.oh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N.am,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
N.ar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N.pl3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O.co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S.o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S.o2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
