obs,pred,prediction
0,1.7567966e-22,0.0
1,1.0,1.0
0,1.0674186e-14,0.0
0,2.7861563e-07,0.0
1,1.0,1.0
0,4.8906127e-13,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
1,0.9960615,1.0
0,7.859427e-16,0.0
0,7.88853e-13,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,5.4543613e-14,0.0
0,1.62866e-17,0.0
1,1.0,1.0
0,1.0755262e-17,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,2.2582629e-08,0.0
1,1.0,1.0
0,7.868224e-14,0.0
1,1.0,1.0
1,1.0,1.0
0,1.6906312e-20,0.0
1,1.0,1.0
0,4.91859e-14,0.0
0,1.0618856e-17,0.0
0,6.6693667e-13,0.0
1,1.0,1.0
0,4.0836343e-09,0.0
0,6.803933e-20,0.0
0,1.2929051e-14,0.0
0,1.0886302e-20,0.0
0,5.966866e-20,0.0
0,2.3456038e-15,0.0
0,2.486502e-23,0.0
0,1.0028893e-20,0.0
0,1.0,1.0
0,1.4018024e-19,0.0
0,3.421946e-15,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,1.3763776e-13,0.0
0,1.000518e-17,0.0
1,1.0,1.0
0,6.414321e-20,0.0
1,1.0,1.0
0,3.5044267e-14,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,6.280536e-07,0.0
0,1.0690772e-14,0.0
0,1.6095324e-24,0.0
1,1.0,1.0
0,2.1137228e-16,0.0
1,1.0,1.0
0,3.537505e-12,0.0
1,1.0,1.0
0,0.000120187804,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,2.7678692e-07,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,2.4280297e-17,0.0
1,1.0,1.0
0,5.4408835e-18,0.0
0,6.191588e-17,0.0
1,1.0,1.0
0,2.1563294e-06,0.0
0,2.371849e-16,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,1.9391064e-12,0.0
0,2.7107746e-15,0.0
0,9.00969e-20,0.0
0,2.871163e-13,0.0
1,1.0,1.0
1,1.0,1.0
1,1.0,1.0
0,1.1676509e-17,0.0
1,1.0,1.0
1,1.0,1.0
0,3.0264483e-18,0.0
1,1.0,1.0
1,1.0,1.0
0,2.9063252e-10,0.0
0,5.3201115e-21,0.0
0,5.861322e-23,0.0
1,1.0,1.0
