,obs,pred,prediction,Names
0,1,1.0,1.0,active1
1,1,1.0,1.0,active10
2,1,1.0,1.0,active100
3,1,1.0,1.0,active101
4,1,1.0,1.0,active103
5,1,1.0,1.0,active105
6,1,1.0,1.0,active106
7,1,1.0,1.0,active107
8,1,1.0,1.0,active108
9,1,1.0,1.0,active109
10,1,1.0,1.0,active11
11,1,0.9960615,1.0,active111
12,1,1.0,1.0,active113
13,1,1.0,1.0,active114
14,1,1.0,1.0,active115
15,1,1.0,1.0,active119
16,1,1.0,1.0,active12
17,1,1.0,1.0,active120
18,1,1.0,1.0,active121
19,1,1.0,1.0,active122
20,1,1.0,1.0,active124
21,1,1.0,1.0,active126
22,1,1.0,1.0,active128
23,1,1.0,1.0,active13
24,1,1.0,1.0,active130
25,1,1.0,1.0,active133
26,1,1.0,1.0,active134
27,1,1.0,1.0,active136
28,1,1.0,1.0,active138
29,1,1.0,1.0,active140
30,1,1.0,1.0,active141
31,1,1.0,1.0,active149
32,1,1.0,1.0,active15
33,1,1.0,1.0,active150
34,1,1.0,1.0,active151
35,1,1.0,1.0,active152
36,1,1.0,1.0,active154
37,1,1.0,1.0,active155
38,1,1.0,1.0,active156
39,1,1.0,1.0,active157
40,1,1.0,1.0,active158
41,1,1.0,1.0,active162
42,1,1.0,1.0,active17
43,1,1.0,1.0,active171
44,1,1.0,1.0,active172
45,1,1.0,1.0,active173
46,1,1.0,1.0,active174
47,1,1.0,1.0,active176
48,1,1.0,1.0,active180
49,1,1.0,1.0,active181
50,1,1.0,1.0,active182
51,1,1.0,1.0,active183
52,1,1.0,1.0,active184
53,1,1.0,1.0,active186
54,1,1.0,1.0,active188
55,1,1.0,1.0,active189
56,1,1.0,1.0,active190
57,1,1.0,1.0,active191
58,1,1.0,1.0,active192
59,1,1.0,1.0,active194
60,1,1.0,1.0,active195
61,1,1.0,1.0,active196
62,1,1.0,1.0,active197
63,1,1.0,1.0,active201
64,1,1.0,1.0,active203
65,1,1.0,1.0,active205
66,1,1.0,1.0,active207
67,1,1.0,1.0,active208
68,1,1.0,1.0,active21
69,1,1.0,1.0,active212
70,1,1.0,1.0,active214
71,1,1.0,1.0,active216
72,1,1.0,1.0,active217
73,1,1.0,1.0,active219
74,1,1.0,1.0,active220
75,1,1.0,1.0,active222
76,1,1.0,1.0,active224
77,1,1.0,1.0,active226
78,1,1.0,1.0,active228
79,1,1.0,1.0,active229
80,1,1.0,1.0,active23
81,1,1.0,1.0,active230
82,1,1.0,1.0,active234
83,1,1.0,1.0,active236
84,1,1.0,1.0,active238
85,1,1.0,1.0,active240
86,1,1.0,1.0,active244
87,1,1.0,1.0,active248
88,1,1.0,1.0,active250
89,1,1.0,1.0,active251
90,1,1.0,1.0,active252
91,1,1.0,1.0,active253
92,1,1.0,1.0,active254
93,1,1.0,1.0,active256
94,1,1.0,1.0,active257
95,1,1.0,1.0,active258
96,1,1.0,1.0,active259
97,1,1.0,1.0,active261
98,1,1.0,1.0,active263
99,1,1.0,1.0,active267
100,1,1.0,1.0,active269
101,1,1.0,1.0,active27
102,1,1.0,1.0,active270
103,1,1.0,1.0,active271
104,1,1.0,1.0,active272
105,1,1.0,1.0,active276
106,1,1.0,1.0,active278
107,1,1.0,1.0,active279
108,1,1.0,1.0,active281
109,1,1.0,1.0,active282
110,1,1.0,1.0,active284
111,1,1.0,1.0,active285
112,1,1.0,1.0,active287
113,1,1.0,1.0,active288
114,1,1.0,1.0,active29
115,1,1.0,1.0,active290
116,1,1.0,1.0,active291
117,1,1.0,1.0,active292
118,1,1.0,1.0,active294
119,1,1.0,1.0,active296
120,1,1.0,1.0,active3
121,1,1.0,1.0,active30
122,1,1.0,1.0,active31
123,1,1.0,1.0,active32
124,1,1.0,1.0,active34
125,1,1.0,1.0,active36
